# Generated by tools/parity_index.py. Do not hand-edit: rebuild with `just parity-update` and
# review the diff, the same rule the generated data tables live under.
#
# One row per vanilla citation in `crates/*/src`. `vanilla_hash` keys the cited lines as they exist
# in the decompiled tree; `our_hash` keys the body of the Rust item the citation is attached to,
# with comment-only lines dropped. `just check-parity` recomputes both and fails when either moved,
# naming which: the vanilla side means the citation drifted or the tree was regenerated, our side
# means the transcription was edited after it was checked against the game.
#
# This says whether a transcription is still the code it was checked against. It never says whether
# it is correct. `just parity-coverage` says what is cited by nothing at all, which is the other
# half and the half that cannot overstate.
rust_file	item	vanilla_file	lines	vanilla_hash	our_hash
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	185-236	be25a5015faa	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	201-203	e44874380868	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	203	0c5882540b7b	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	207-215	b49bf444f9a2	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	228-229	001bbd1d1355	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	238	b177f4ee3b0b	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	258-274	1fcaaa0ee7a8	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	333-334	22f35fa93ef8	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	342	026322687e23	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	350	38832ace73c9	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	351	9cd2c5f14189	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	372	fd58d558eaf0	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	376	8dd32687cae7	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	378	92703659b91a	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	384	538cd3bf5613	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	565-569	997a754be665	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	608-629	147998a98b4c	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	696-697	9b46a5176c93	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	743	6a9eca13424c	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	745-777	06212965ccb1	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	75	04b27bea8b11	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	787-788	e7a89f804776	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	939-940	e782dea8ab46	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	941-944	78802590135d	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	945-946	11fc409f9eba	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	959	355d31fba5ce	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	971-972	cb96acb97125	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropRule.cs	20	32b2efbf9728	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropRule.cs	25-32	cb898690f3cb	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	NPC.cs	67435-67446	1925e3c571e4	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	373-374,381-382	c76c171dad8b	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	404	7632c769a5a3	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	550	18eb604eedc5	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	555-570	cba9bf61a6ec	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	563	296c940d8418	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	686	b420eb7a171f	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn frost_moon_gate_denominator	Conditions.cs	57-78	f2b3572ff710	0bf5f59f301b
crates/terrustia-proto/src/conditional_drops.rs	fn frost_moon_gate_denominator	ItemDropDatabase.cs	371	802975a21f9d	0bf5f59f301b
crates/terrustia-proto/src/conditional_drops.rs	fn frost_moon_gate_denominator	ItemDropDatabase.cs	377	7e90e96d6ed8	0bf5f59f301b
crates/terrustia-proto/src/conditional_drops.rs	fn frost_moon_gate_denominator	ItemDropDatabase.cs	383	7a56c04c747f	0bf5f59f301b
crates/terrustia-proto/src/conditional_drops.rs	fn global_rules	Conditions.cs	1008-1106	e0c7b1701210	5af1cbf20906
crates/terrustia-proto/src/conditional_drops.rs	fn global_rules	Conditions.cs	1136-1240	f9155f63466b	5af1cbf20906
crates/terrustia-proto/src/conditional_drops.rs	fn global_rules	Conditions.cs	394	b7774b0fad0c	5af1cbf20906
crates/terrustia-proto/src/conditional_drops.rs	fn global_rules	Conditions.cs	804-807	a1b4c1bfd929	5af1cbf20906
crates/terrustia-proto/src/conditional_drops.rs	fn global_rules	ItemDropDatabase.cs	686	b420eb7a171f	5af1cbf20906
crates/terrustia-proto/src/conditional_drops.rs	fn is_a_small_halloween_enemy	Conditions.cs	804-807	a1b4c1bfd929	3264fb34f6f6
crates/terrustia-proto/src/conditional_drops.rs	fn lunar_fragment	ItemDropDatabase.cs	626-629	d1196eab221c	d6c6f85f403d
crates/terrustia-proto/src/conditional_drops.rs	fn moon_lord_weapons	ItemDropDatabase.cs	605	e74eb827b5d8	d7cfa85352cd
crates/terrustia-proto/src/conditional_drops.rs	fn moon_trophy_gate_denominator	Conditions.cs	127-166	ccec12f884e7	8af1153434a0
crates/terrustia-proto/src/conditional_drops.rs	fn moon_trophy_gate_denominator	Conditions.cs	179-217	0c47ee8e1fe6	8af1153434a0
crates/terrustia-proto/src/conditional_drops.rs	fn not_scaling	ItemDropRule.cs	50-53	12de0740657f	6748dd59518b
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	Conditions.cs	1264	8f63fccb6021	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	1146	eef298ea9ed4	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	225	a8af9748dd09	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	227	3b2ebbce6732	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	383-385	3c382144ce88	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	425-428	8eb9b6bcfdb6	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	545	01bc161484b6	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	866	f2ee3adf1811	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn one_from	ItemDropDatabase.cs	987-989	520be48aaf59	641c63d8f602
crates/terrustia-proto/src/conditional_drops.rs	fn pumpkin_moon_gate_denominator	ItemDropDatabase.cs	91-113	ac079582643f	81d7ca86ad38
crates/terrustia-proto/src/conditional_drops.rs	fn treasure_bag	Item.cs	30557	08ca23ece84f	85ef8f187623
crates/terrustia-proto/src/conditional_drops.rs	fn treasure_bag	ItemDropDatabase.cs	585-592	9a87a2dded71	85ef8f187623
crates/terrustia-proto/src/conditional_drops.rs	fn treasure_bag	ItemDropDatabase.cs	632-636	34fad0de0d33	85ef8f187623
crates/terrustia-proto/src/conditional_drops.rs	fn treasure_bag	Player.cs	7820	1003205e2034	85ef8f187623
crates/terrustia-proto/src/conditional_drops.rs	fn trophy	Conditions.cs	127-166	ccec12f884e7	c70690b366b1
crates/terrustia-proto/src/conditional_drops.rs	fn trophy	ItemDropDatabase.cs	363-387	823bd799ea83	c70690b366b1
crates/terrustia-proto/src/conditional_drops.rs	fn trophy	ItemDropDatabase.cs	865-904	957bd8273fbc	c70690b366b1
crates/terrustia-proto/src/conditional_drops.rs	fn trophy	ItemDropDatabase.cs	896-903	288e725b1827	c70690b366b1
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling	CommonDrop.cs	36	7eba7236bea4	9f3626691140
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn a_master_relic_scales_where_a_master_pet_does_not	ItemDropRule.cs	25-33	b3b147e224dd	2b553b31aaa7
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn one_chain_can_mix_scaled_and_unscaled_links	ItemDropDatabase.cs	404	7632c769a5a3	34d4ff23d1ab
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn queen_slimes_volatile_gelatin_is_the_one_that_does_not_scale	ItemDropDatabase.cs	313-317	602166634c66	00939d9d9c3e
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn the_generated_table_is_mostly_luck_scaled	ItemDropDatabase.cs	1181	c8657035acad	ee4d7a3ced3b
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn the_generated_table_is_mostly_luck_scaled	ItemDropDatabase.cs	179	52458fe0919b	ee4d7a3ced3b
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn the_generated_table_is_mostly_luck_scaled	ItemDropDatabase.cs	753	153c66d302e7	ee4d7a3ced3b
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn the_generated_table_is_mostly_luck_scaled	ItemDropDatabase.cs	759	dbe410c78d1c	ee4d7a3ced3b
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn the_variants_match_the_constructors_source_uses	ItemDropDatabase.cs	1181	c8657035acad	170a08fcdd5f
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn the_variants_match_the_constructors_source_uses	ItemDropDatabase.cs	179	52458fe0919b	170a08fcdd5f
